[FPGA sim] port=12347  pass +fpga_id=N to tag output
[FPGA3] RX #46      data=0x01000007 (len=4 B)
[FPGA3] RX #46      data=0x04000000 (len=4 B)
[FPGA3] RX #46      data=0x04000001 (len=4 B)
[FPGA3] RX #46      data=0x04000002 (len=4 B)
[FPGA3] RX #46      data=0x04000003 (len=4 B)
[FPGA3] RX #46      data=0x04000004 (len=4 B)
[FPGA3] RX #46      data=0x04000005 (len=4 B)
[FPGA3] RX #46      data=0x04000006 (len=4 B)
[FPGA3] RX #46      data=0x04000007 (len=4 B)
[FPGA3] RX #46      data=0x02000004 (len=4 B)
[FPGA3] RX #46      data=0x02000005 (len=4 B)
[FPGA3] TX #46.0  data=0x03000000
[FPGA3] TX #46.1  data=0x03000001
[FPGA3] TX #46.2  data=0x03000002
[FPGA3] TX #46.3  data=0x03000003
[FPGA3] RX #46      data=0x02000006 (len=4 B)
[FPGA3] TX #46.4  data=0x03000004
[FPGA3] RX #46      data=0x02000007 (len=4 B)
[FPGA3] TX #46.5  data=0x03000005
[FPGA3] RX #46      data=0x01000000 (len=4 B)
[FPGA3] TX #46.6  data=0x03000006
[FPGA3] RX #46      data=0x01000001 (len=4 B)
[FPGA3] TX #46.7  data=0x03000007
[FPGA3] RX #47      data=0x01000002 (len=4 B)
[FPGA3] RX #47      data=0x01000003 (len=4 B)
[FPGA3] RX #47      data=0x01000004 (len=4 B)
[FPGA3] RX #47      data=0x01000005 (len=4 B)
[FPGA3] RX #47      data=0x01000006 (len=4 B)
[FPGA3] RX #47      data=0x01000007 (len=4 B)
[FPGA3] RX #47      data=0x02000000 (len=4 B)
[FPGA3] RX #47      data=0x02000001 (len=4 B)
[FPGA3] RX #47      data=0x02000002 (len=4 B)
[FPGA3] RX #47      data=0x02000003 (len=4 B)
[FPGA3] RX #47      data=0x02000004 (len=4 B)
[FPGA3] RX #47      data=0x02000005 (len=4 B)
[FPGA3] TX #47.0  data=0x03000000
[FPGA3] TX #47.1  data=0x03000001
[FPGA3] TX #47.2  data=0x03000002
[FPGA3] TX #47.3  data=0x03000003
[FPGA3] RX #47      data=0x02000006 (len=4 B)
[FPGA3] TX #47.4  data=0x03000004
[FPGA3] RX #47      data=0x02000007 (len=4 B)
[FPGA3] TX #47.5  data=0x03000005
[FPGA3] RX #47      data=0x04000000 (len=4 B)
[FPGA3] TX #47.6  data=0x03000006
[FPGA3] RX #47      data=0x04000001 (len=4 B)
[FPGA3] TX #47.7  data=0x03000007
[FPGA3] RX #48      data=0x04000002 (len=4 B)
[FPGA3] RX #48      data=0x04000003 (len=4 B)
[FPGA3] RX #48      data=0x04000004 (len=4 B)
[FPGA3] RX #48      data=0x04000005 (len=4 B)
[FPGA3] RX #48      data=0x04000006 (len=4 B)
[FPGA3] RX #48      data=0x04000007 (len=4 B)
[FPGA3] RX #48      data=0x01000000 (len=4 B)
[FPGA3] RX #48      data=0x01000001 (len=4 B)
[FPGA3] RX #48      data=0x01000002 (len=4 B)
[FPGA3] RX #48      data=0x01000003 (len=4 B)
[FPGA3] RX #48      data=0x01000004 (len=4 B)
[FPGA3] RX #48      data=0x01000005 (len=4 B)
[FPGA3] TX #48.0  data=0x03000000
[FPGA3] TX #48.1  data=0x03000001
[FPGA3] TX #48.2  data=0x03000002
[FPGA3] TX #48.3  data=0x03000003
[FPGA3] RX #48      data=0x02000000 (len=4 B)
[FPGA3] TX #48.4  data=0x03000004
[FPGA3] RX #48      data=0x02000001 (len=4 B)
[FPGA3] TX #48.5  data=0x03000005
[FPGA3] RX #48      data=0x02000002 (len=4 B)
[FPGA3] TX #48.6  data=0x03000006
[FPGA3] RX #48      data=0x02000003 (len=4 B)
[FPGA3] TX #48.7  data=0x03000007
[FPGA3] RX #49      data=0x02000004 (len=4 B)
[FPGA3] RX #49      data=0x02000005 (len=4 B)
[FPGA3] RX #49      data=0x02000006 (len=4 B)
[FPGA3] RX #49      data=0x02000007 (len=4 B)
[FPGA3] RX #49      data=0x04000000 (len=4 B)
[FPGA3] RX #49      data=0x04000001 (len=4 B)
[FPGA3] RX #49      data=0x04000002 (len=4 B)
[FPGA3] RX #49      data=0x04000003 (len=4 B)
[FPGA3] RX #49      data=0x04000004 (len=4 B)
[FPGA3] RX #49      data=0x04000005 (len=4 B)
[FPGA3] RX #49      data=0x04000006 (len=4 B)
[FPGA3] RX #49      data=0x04000007 (len=4 B)
[FPGA3] TX #49.0  data=0x03000000
[FPGA3] TX #49.1  data=0x03000001
[FPGA3] TX #49.2  data=0x03000002
[FPGA3] TX #49.3  data=0x03000003
[FPGA3] RX #49      data=0x01000006 (len=4 B)
[FPGA3] TX #49.4  data=0x03000004
[FPGA3] RX #49      data=0x01000007 (len=4 B)
[FPGA3] TX #49.5  data=0x03000005
[FPGA3] RX #49      data=0x01000000 (len=4 B)
[FPGA3] TX #49.6  data=0x03000006
[FPGA3] RX #49      data=0x01000001 (len=4 B)
[FPGA3] TX #49.7  data=0x03000007
[FPGA3] RX #50      data=0x01000002 (len=4 B)
[FPGA3] RX #50      data=0x01000003 (len=4 B)
[FPGA3] RX #50      data=0x02000000 (len=4 B)
[FPGA3] RX #50      data=0x02000001 (len=4 B)
[FPGA3] RX #50      data=0x02000002 (len=4 B)
[FPGA3] RX #50      data=0x02000003 (len=4 B)
[FPGA3] RX #50      data=0x02000004 (len=4 B)
[FPGA3] RX #50      data=0x02000005 (len=4 B)
[FPGA3] RX #50      data=0x02000006 (len=4 B)
[FPGA3] RX #50      data=0x02000007 (len=4 B)
[FPGA3] RX #50      data=0x01000004 (len=4 B)
[FPGA3] RX #50      data=0x01000005 (len=4 B)
[FPGA3] TX #50.0  data=0x03000000
[FPGA3] TX #50.1  data=0x03000001
[FPGA3] TX #50.2  data=0x03000002
[FPGA3] TX #50.3  data=0x03000003
[FPGA3] RX #50      data=0x01000006 (len=4 B)
[FPGA3] TX #50.4  data=0x03000004
[FPGA3] RX #50      data=0x01000007 (len=4 B)
[FPGA3] TX #50.5  data=0x03000005
[FPGA3] RX #50      data=0x01000000 (len=4 B)
[FPGA3] TX #50.6  data=0x03000006
[FPGA3] RX #50      data=0x01000001 (len=4 B)
[FPGA3] TX #50.7  data=0x03000007
[FPGA3] RX #51      data=0x01000002 (len=4 B)
[FPGA3] RX #51      data=0x01000003 (len=4 B)
[FPGA3] RX #51      data=0x04000000 (len=4 B)
[FPGA3] RX #51      data=0x04000001 (len=4 B)
[FPGA3] RX #51      data=0x04000002 (len=4 B)
[FPGA3] RX #51      data=0x04000003 (len=4 B)
[FPGA3] RX #51      data=0x04000004 (len=4 B)
[FPGA3] RX #51      data=0x04000005 (len=4 B)
[FPGA3] RX #51      data=0x04000006 (len=4 B)
[FPGA3] RX #51      data=0x04000007 (len=4 B)
[FPGA3] RX #51      data=0x02000000 (len=4 B)
[FPGA3] TX #51.0  data=0x03000000
[FPGA3] TX #51.1  data=0x03000001
[FPGA3] TX #51.2  data=0x03000002
[FPGA3] RX #51      data=0x02000001 (len=4 B)
[FPGA3] TX #51.3  data=0x03000003
[FPGA3] RX #51      data=0x02000002 (len=4 B)
[FPGA3] TX #51.4  data=0x03000004
[FPGA3] RX #51      data=0x02000003 (len=4 B)
[FPGA3] TX #51.5  data=0x03000005
[FPGA3] RX #51      data=0x02000004 (len=4 B)
[FPGA3] TX #51.6  data=0x03000006
[FPGA3] RX #51      data=0x02000005 (len=4 B)
[FPGA3] TX #51.7  data=0x03000007
[FPGA3] RX #52      data=0x02000006 (len=4 B)
[FPGA3] RX #52      data=0x02000007 (len=4 B)
[FPGA3] RX #52      data=0x01000004 (len=4 B)
[FPGA3] RX #52      data=0x01000005 (len=4 B)
[FPGA3] RX #52      data=0x01000006 (len=4 B)
[FPGA3] RX #52      data=0x01000007 (len=4 B)
[FPGA3] RX #52      data=0x01000000 (len=4 B)
[FPGA3] RX #52      data=0x01000001 (len=4 B)
[FPGA3] RX #52      data=0x01000002 (len=4 B)
[FPGA3] RX #52      data=0x01000003 (len=4 B)
[FPGA3] RX #52      data=0x01000004 (len=4 B)
[FPGA3] TX #52.0  data=0x03000000
[FPGA3] TX #52.1  data=0x03000001
[FPGA3] TX #52.2  data=0x03000002
[FPGA3] RX #52      data=0x01000005 (len=4 B)
[FPGA3] TX #52.3  data=0x03000003
[FPGA3] RX #52      data=0x01000006 (len=4 B)
[FPGA3] TX #52.4  data=0x03000004
[FPGA3] RX #52      data=0x04000000 (len=4 B)
[FPGA3] TX #52.5  data=0x03000005
[FPGA3] RX #52      data=0x04000001 (len=4 B)
[FPGA3] TX #52.6  data=0x03000006
[FPGA3] RX #52      data=0x04000002 (len=4 B)
[FPGA3] TX #52.7  data=0x03000007
[FPGA3] RX #53      data=0x04000003 (len=4 B)
[FPGA3] RX #53      data=0x04000004 (len=4 B)
[FPGA3] RX #53      data=0x04000005 (len=4 B)
[FPGA3] RX #53      data=0x04000006 (len=4 B)
[FPGA3] RX #53      data=0x04000007 (len=4 B)
[FPGA3] RX #53      data=0x04000000 (len=4 B)
[FPGA3] RX #53      data=0x04000001 (len=4 B)
[FPGA3] RX #53      data=0x04000002 (len=4 B)
[FPGA3] RX #53      data=0x04000003 (len=4 B)
[FPGA3] RX #53      data=0x04000004 (len=4 B)
[FPGA3] RX #53      data=0x04000005 (len=4 B)
[FPGA3] TX #53.0  data=0x03000000
[FPGA3] TX #53.1  data=0x03000001
[FPGA3] TX #53.2  data=0x03000002
[FPGA3] TX #53.3  data=0x03000003
[FPGA3] RX #53      data=0x04000006 (len=4 B)
[FPGA3] TX #53.4  data=0x03000004
[FPGA3] RX #53      data=0x04000007 (len=4 B)
[FPGA3] TX #53.5  data=0x03000005
[FPGA3] RX #53      data=0x02000000 (len=4 B)
[FPGA3] TX #53.6  data=0x03000006
[FPGA3] RX #53      data=0x02000001 (len=4 B)
[FPGA3] TX #53.7  data=0x03000007
[FPGA3] RX #54      data=0x02000002 (len=4 B)
[FPGA3] RX #54      data=0x02000003 (len=4 B)
[FPGA3] RX #54      data=0x02000004 (len=4 B)
[FPGA3] RX #54      data=0x02000005 (len=4 B)
[FPGA3] RX #54      data=0x02000006 (len=4 B)
[FPGA3] RX #54      data=0x02000007 (len=4 B)
[FPGA3] RX #54      data=0x02000000 (len=4 B)
[FPGA3] RX #54      data=0x02000001 (len=4 B)
[FPGA3] RX #54      data=0x02000002 (len=4 B)
[FPGA3] RX #54      data=0x02000003 (len=4 B)
[FPGA3] RX #54      data=0x01000007 (len=4 B)
[FPGA3] RX #54      data=0x01000000 (len=4 B)
[FPGA3] TX #54.0  data=0x03000000
[FPGA3] TX #54.1  data=0x03000001
[FPGA3] TX #54.2  data=0x03000002
[FPGA3] TX #54.3  data=0x03000003
[FPGA3] RX #54      data=0x01000001 (len=4 B)
[FPGA3] TX #54.4  data=0x03000004
[FPGA3] RX #54      data=0x01000002 (len=4 B)
[FPGA3] TX #54.5  data=0x03000005
[FPGA3] RX #54      data=0x01000003 (len=4 B)
[FPGA3] TX #54.6  data=0x03000006
[FPGA3] RX #54      data=0x01000004 (len=4 B)
[FPGA3] TX #54.7  data=0x03000007
[FPGA3] RX #55      data=0x01000005 (len=4 B)
[FPGA3] RX #55      data=0x01000006 (len=4 B)
[FPGA3] RX #55      data=0x01000007 (len=4 B)
[FPGA3] RX #55      data=0x04000000 (len=4 B)
[FPGA3] RX #55      data=0x04000001 (len=4 B)
[FPGA3] RX #55      data=0x04000002 (len=4 B)
[FPGA3] RX #55      data=0x04000003 (len=4 B)
[FPGA3] RX #55      data=0x04000004 (len=4 B)
[FPGA3] RX #55      data=0x04000005 (len=4 B)
[FPGA3] RX #55      data=0x04000006 (len=4 B)
[FPGA3] RX #55      data=0x04000007 (len=4 B)
[FPGA3] RX #55      data=0x02000004 (len=4 B)
[FPGA3] TX #55.0  data=0x03000000
[FPGA3] TX #55.1  data=0x03000001
[FPGA3] TX #55.2  data=0x03000002
[FPGA3] TX #55.3  data=0x03000003
[FPGA3] RX #55      data=0x02000005 (len=4 B)
[FPGA3] TX #55.4  data=0x03000004
[FPGA3] RX #55      data=0x02000006 (len=4 B)
[FPGA3] TX #55.5  data=0x03000005
[FPGA3] RX #55      data=0x02000007 (len=4 B)
[FPGA3] TX #55.6  data=0x03000006
[FPGA3] RX #55      data=0x01000000 (len=4 B)
[FPGA3] TX #55.7  data=0x03000007
[FPGA3] RX #56      data=0x01000001 (len=4 B)
[FPGA3] RX #56      data=0x01000002 (len=4 B)
[FPGA3] RX #56      data=0x01000003 (len=4 B)
[FPGA3] RX #56      data=0x01000004 (len=4 B)
[FPGA3] RX #56      data=0x01000005 (len=4 B)
[FPGA3] RX #56      data=0x01000006 (len=4 B)
[FPGA3] RX #56      data=0x01000007 (len=4 B)
[FPGA3] RX #56      data=0x02000000 (len=4 B)
[FPGA3] RX #56      data=0x02000001 (len=4 B)
[FPGA3] RX #56      data=0x02000002 (len=4 B)
[FPGA3] RX #56      data=0x02000003 (len=4 B)
[FPGA3] RX #56      data=0x02000004 (len=4 B)
[FPGA3] TX #56.0  data=0x03000000
[FPGA3] TX #56.1  data=0x03000001
[FPGA3] TX #56.2  data=0x03000002
[FPGA3] TX #56.3  data=0x03000003
[FPGA3] RX #56      data=0x02000005 (len=4 B)
[FPGA3] TX #56.4  data=0x03000004
[FPGA3] RX #56      data=0x02000006 (len=4 B)
[FPGA3] TX #56.5  data=0x03000005
[FPGA3] RX #56      data=0x02000007 (len=4 B)
[FPGA3] TX #56.6  data=0x03000006
[FPGA3] RX #56      data=0x04000000 (len=4 B)
[FPGA3] TX #56.7  data=0x03000007
[FPGA3] RX #57      data=0x04000001 (len=4 B)
[FPGA3] RX #57      data=0x04000002 (len=4 B)
[FPGA3] RX #57      data=0x04000003 (len=4 B)
[FPGA3] RX #57      data=0x04000004 (len=4 B)
[FPGA3] RX #57      data=0x04000005 (len=4 B)
[FPGA3] RX #57      data=0x04000006 (len=4 B)
[FPGA3] RX #57      data=0x04000007 (len=4 B)
[FPGA3] RX #57      data=0x01000000 (len=4 B)
[FPGA3] RX #57      data=0x01000001 (len=4 B)
[FPGA3] RX #57      data=0x01000002 (len=4 B)
[FPGA3] RX #57      data=0x01000003 (len=4 B)
[FPGA3] RX #57      data=0x01000004 (len=4 B)
[FPGA3] TX #57.0  data=0x03000000
[FPGA3] TX #57.1  data=0x03000001
[FPGA3] TX #57.2  data=0x03000002
[FPGA3] TX #57.3  data=0x03000003
[FPGA3] RX #57      data=0x01000005 (len=4 B)
[FPGA3] TX #57.4  data=0x03000004
[FPGA3] RX #57      data=0x01000006 (len=4 B)
[FPGA3] TX #57.5  data=0x03000005
[FPGA3] RX #57      data=0x01000007 (len=4 B)
[FPGA3] TX #57.6  data=0x03000006
[FPGA3] RX #57      data=0x02000000 (len=4 B)
[FPGA3] TX #57.7  data=0x03000007
[FPGA3] RX #58      data=0x02000001 (len=4 B)
[FPGA3] RX #58      data=0x02000002 (len=4 B)
[FPGA3] RX #58      data=0x02000003 (len=4 B)
[FPGA3] RX #58      data=0x02000004 (len=4 B)
[FPGA3] RX #58      data=0x02000005 (len=4 B)
[FPGA3] RX #58      data=0x02000006 (len=4 B)
[FPGA3] RX #58      data=0x02000007 (len=4 B)
[FPGA3] RX #58      data=0x04000000 (len=4 B)
[FPGA3] RX #58      data=0x04000001 (len=4 B)
[FPGA3] RX #58      data=0x04000002 (len=4 B)
[FPGA3] RX #58      data=0x04000003 (len=4 B)
[FPGA3] TX #58.0  data=0x03000000
[FPGA3] TX #58.1  data=0x03000001
[FPGA3] TX #58.2  data=0x03000002
[FPGA3] RX #58      data=0x04000004 (len=4 B)
[FPGA3] TX #58.3  data=0x03000003
[FPGA3] RX #58      data=0x04000005 (len=4 B)
[FPGA3] TX #58.4  data=0x03000004
[FPGA3] RX #58      data=0x04000006 (len=4 B)
[FPGA3] TX #58.5  data=0x03000005
[FPGA3] RX #58      data=0x04000007 (len=4 B)
[FPGA3] TX #58.6  data=0x03000006
[FPGA3] RX #58      data=0x01000000 (len=4 B)
[FPGA3] TX #58.7  data=0x03000007
[FPGA3] RX #59      data=0x01000001 (len=4 B)
[FPGA3] RX #59      data=0x01000002 (len=4 B)
[FPGA3] RX #59      data=0x01000003 (len=4 B)
[FPGA3] RX #59      data=0x01000004 (len=4 B)
[FPGA3] RX #59      data=0x01000005 (len=4 B)
[FPGA3] RX #59      data=0x01000006 (len=4 B)
[FPGA3] RX #59      data=0x01000007 (len=4 B)
[FPGA3] RX #59      data=0x02000000 (len=4 B)
[FPGA3] RX #59      data=0x02000001 (len=4 B)
[FPGA3] RX #59      data=0x02000002 (len=4 B)
[FPGA3] RX #59      data=0x02000003 (len=4 B)
[FPGA3] TX #59.0  data=0x03000000
[FPGA3] TX #59.1  data=0x03000001
[FPGA3] TX #59.2  data=0x03000002
[FPGA3] RX #59      data=0x02000004 (len=4 B)
[FPGA3] TX #59.3  data=0x03000003
[FPGA3] RX #59      data=0x02000005 (len=4 B)
[FPGA3] TX #59.4  data=0x03000004
[FPGA3] RX #59      data=0x02000006 (len=4 B)
[FPGA3] TX #59.5  data=0x03000005
[FPGA3] RX #59      data=0x02000007 (len=4 B)
[FPGA3] TX #59.6  data=0x03000006
[FPGA3] RX #59      data=0x04000000 (len=4 B)
[FPGA3] TX #59.7  data=0x03000007
[FPGA3] RX #60      data=0x04000001 (len=4 B)
[FPGA3] RX #60      data=0x04000002 (len=4 B)
[FPGA3] RX #60      data=0x04000003 (len=4 B)
[FPGA3] RX #60      data=0x04000004 (len=4 B)
[FPGA3] RX #60      data=0x04000005 (len=4 B)
[FPGA3] RX #60      data=0x04000006 (len=4 B)
[FPGA3] RX #60      data=0x04000007 (len=4 B)
[FPGA3] RX #60      data=0x02000000 (len=4 B)
[FPGA3] RX #60      data=0x02000001 (len=4 B)
[FPGA3] RX #60      data=0x02000002 (len=4 B)
[FPGA3] RX #60      data=0x02000003 (len=4 B)
[FPGA3] TX #60.0  data=0x03000000
[FPGA3] TX #60.1  data=0x03000001
[FPGA3] TX #60.2  data=0x03000002
[FPGA3] TX #60.3  data=0x03000003
[FPGA3] RX #60      data=0x02000004 (len=4 B)
[FPGA3] TX #60.4  data=0x03000004
[FPGA3] RX #60      data=0x02000005 (len=4 B)
[FPGA3] TX #60.5  data=0x03000005
[FPGA3] RX #60      data=0x02000006 (len=4 B)
[FPGA3] TX #60.6  data=0x03000006
[FPGA3] RX #60      data=0x02000007 (len=4 B)
[FPGA3] TX #60.7  data=0x03000007
[FPGA3] RX #61      data=0x01000000 (len=4 B)
[FPGA3] RX #61      data=0x01000001 (len=4 B)
[FPGA3] RX #61      data=0x01000002 (len=4 B)
[FPGA3] RX #61      data=0x01000003 (len=4 B)
[FPGA3] RX #61      data=0x01000004 (len=4 B)
[FPGA3] RX #61      data=0x01000005 (len=4 B)
[FPGA3] RX #61      data=0x01000006 (len=4 B)
[FPGA3] RX #61      data=0x01000007 (len=4 B)
[FPGA3] RX #61      data=0x04000000 (len=4 B)
[FPGA3] RX #61      data=0x04000001 (len=4 B)
[FPGA3] RX #61      data=0x04000002 (len=4 B)
[FPGA3] RX #61      data=0x04000003 (len=4 B)
[FPGA3] TX #61.0  data=0x03000000
[FPGA3] TX #61.1  data=0x03000001
[FPGA3] TX #61.2  data=0x03000002
[FPGA3] TX #61.3  data=0x03000003
[FPGA3] RX #61      data=0x04000004 (len=4 B)
[FPGA3] TX #61.4  data=0x03000004
[FPGA3] RX #61      data=0x04000005 (len=4 B)
[FPGA3] TX #61.5  data=0x03000005
[FPGA3] RX #61      data=0x04000006 (len=4 B)
[FPGA3] TX #61.6  data=0x03000006
[FPGA3] RX #61      data=0x04000007 (len=4 B)
[FPGA3] TX #61.7  data=0x03000007
[FPGA3] RX #62      data=0x02000000 (len=4 B)
[FPGA3] RX #62      data=0x02000001 (len=4 B)
[FPGA3] RX #62      data=0x02000002 (len=4 B)
[FPGA3] RX #62      data=0x02000003 (len=4 B)
[FPGA3] RX #62      data=0x02000004 (len=4 B)
[FPGA3] RX #62      data=0x02000005 (len=4 B)
[FPGA3] RX #62      data=0x02000006 (len=4 B)
[FPGA3] RX #62      data=0x02000007 (len=4 B)
[FPGA3] RX #62      data=0x01000000 (len=4 B)
[FPGA3] RX #62      data=0x01000001 (len=4 B)
[FPGA3] RX #62      data=0x01000002 (len=4 B)
[FPGA3] RX #62      data=0x01000003 (len=4 B)
[FPGA3] TX #62.0  data=0x03000000
[FPGA3] TX #62.1  data=0x03000001
[FPGA3] TX #62.2  data=0x03000002
[FPGA3] TX #62.3  data=0x03000003
[FPGA3] RX #62      data=0x01000004 (len=4 B)
[FPGA3] TX #62.4  data=0x03000004
[FPGA3] RX #62      data=0x01000005 (len=4 B)
[FPGA3] TX #62.5  data=0x03000005
[FPGA3] RX #62      data=0x01000006 (len=4 B)
[FPGA3] TX #62.6  data=0x03000006
[FPGA3] RX #62      data=0x01000007 (len=4 B)
[FPGA3] TX #62.7  data=0x03000007
[FPGA3] RX #63      data=0x04000000 (len=4 B)
[FPGA3] RX #63      data=0x04000001 (len=4 B)
[FPGA3] RX #63      data=0x04000002 (len=4 B)
[FPGA3] RX #63      data=0x04000003 (len=4 B)
[FPGA3] RX #63      data=0x04000004 (len=4 B)
[FPGA3] RX #63      data=0x04000005 (len=4 B)
[FPGA3] RX #63      data=0x04000006 (len=4 B)
[FPGA3] RX #63      data=0x04000007 (len=4 B)
[FPGA3] RX #63      data=0x02000000 (len=4 B)
[FPGA3] RX #63      data=0x02000001 (len=4 B)
[FPGA3] RX #63      data=0x02000002 (len=4 B)
[FPGA3] RX #63      data=0x02000003 (len=4 B)
[FPGA3] TX #63.0  data=0x03000000
[FPGA3] TX #63.1  data=0x03000001
[FPGA3] TX #63.2  data=0x03000002
[FPGA3] TX #63.3  data=0x03000003
[FPGA3] RX #63      data=0x02000004 (len=4 B)
[FPGA3] TX #63.4  data=0x03000004
[FPGA3] RX #63      data=0x02000005 (len=4 B)
[FPGA3] TX #63.5  data=0x03000005
[FPGA3] RX #63      data=0x02000006 (len=4 B)
[FPGA3] TX #63.6  data=0x03000006
[FPGA3] RX #63      data=0x02000007 (len=4 B)
[FPGA3] TX #63.7  data=0x03000007
[FPGA3] RX #64      data=0x01000000 (len=4 B)
[FPGA3] RX #64      data=0x01000001 (len=4 B)
[FPGA3] RX #64      data=0x01000002 (len=4 B)
[FPGA3] RX #64      data=0x01000003 (len=4 B)
[FPGA3] RX #64      data=0x01000004 (len=4 B)
[FPGA3] RX #64      data=0x01000005 (len=4 B)
[FPGA3] RX #64      data=0x01000006 (len=4 B)
[FPGA3] RX #64      data=0x01000007 (len=4 B)
[FPGA3] RX #64      data=0x04000000 (len=4 B)
[FPGA3] RX #64      data=0x04000001 (len=4 B)
[FPGA3] RX #64      data=0x04000002 (len=4 B)
[FPGA3] TX #64.0  data=0x03000000
[FPGA3] TX #64.1  data=0x03000001
[FPGA3] TX #64.2  data=0x03000002
[FPGA3] RX #64      data=0x04000003 (len=4 B)
[FPGA3] TX #64.3  data=0x03000003
[FPGA3] RX #64      data=0x04000004 (len=4 B)
[FPGA3] TX #64.4  data=0x03000004
[FPGA3] RX #64      data=0x04000005 (len=4 B)
[FPGA3] TX #64.5  data=0x03000005
[FPGA3] RX #64      data=0x04000006 (len=4 B)
[FPGA3] TX #64.6  data=0x03000006
[FPGA3] RX #64      data=0x04000007 (len=4 B)
[FPGA3] TX #64.7  data=0x03000007
[FPGA3] RX #65      data=0x02000000 (len=4 B)
[FPGA3] RX #65      data=0x02000001 (len=4 B)
[FPGA3] RX #65      data=0x02000002 (len=4 B)
[FPGA3] RX #65      data=0x02000003 (len=4 B)
[FPGA3] RX #65      data=0x02000004 (len=4 B)
[FPGA3] RX #65      data=0x02000005 (len=4 B)
[FPGA3] RX #65      data=0x02000006 (len=4 B)
[FPGA3] RX #65      data=0x02000007 (len=4 B)
[FPGA3] RX #65      data=0x01000000 (len=4 B)
[FPGA3] RX #65      data=0x01000001 (len=4 B)
[FPGA3] RX #65      data=0x01000002 (len=4 B)
[FPGA3] TX #65.0  data=0x03000000
[FPGA3] TX #65.1  data=0x03000001
[FPGA3] TX #65.2  data=0x03000002
[FPGA3] RX #65      data=0x01000003 (len=4 B)
[FPGA3] TX #65.3  data=0x03000003
[FPGA3] RX #65      data=0x01000004 (len=4 B)
[FPGA3] TX #65.4  data=0x03000004
[FPGA3] RX #65      data=0x01000005 (len=4 B)
[FPGA3] TX #65.5  data=0x03000005
[FPGA3] RX #65      data=0x01000006 (len=4 B)
[FPGA3] TX #65.6  data=0x03000006
[FPGA3] RX #65      data=0x01000007 (len=4 B)
[FPGA3] TX #65.7  data=0x03000007
[FPGA3] RX #66      data=0x04000000 (len=4 B)
[FPGA3] RX #66      data=0x04000001 (len=4 B)
[FPGA3] RX #66      data=0x04000002 (len=4 B)
[FPGA3] RX #66      data=0x04000003 (len=4 B)
[FPGA3] RX #66      data=0x04000004 (len=4 B)
[FPGA3] RX #66      data=0x04000005 (len=4 B)
[FPGA3] RX #66      data=0x04000006 (len=4 B)
[FPGA3] RX #66      data=0x04000007 (len=4 B)
[FPGA3] RX #66      data=0x02000000 (len=4 B)
[FPGA3] RX #66      data=0x02000001 (len=4 B)
[FPGA3] RX #66      data=0x02000002 (len=4 B)
[FPGA3] TX #66.0  data=0x03000000
[FPGA3] TX #66.1  data=0x03000001
[FPGA3] TX #66.2  data=0x03000002
[FPGA3] RX #66      data=0x02000003 (len=4 B)
[FPGA3] TX #66.3  data=0x03000003
[FPGA3] RX #66      data=0x02000004 (len=4 B)
[FPGA3] TX #66.4  data=0x03000004
[FPGA3] RX #66      data=0x02000005 (len=4 B)
[FPGA3] TX #66.5  data=0x03000005
[FPGA3] RX #66      data=0x01000000 (len=4 B)
[FPGA3] TX #66.6  data=0x03000006
[FPGA3] RX #66      data=0x01000001 (len=4 B)
[FPGA3] TX #66.7  data=0x03000007
[FPGA3] RX #67      data=0x01000002 (len=4 B)
[FPGA3] RX #67      data=0x01000003 (len=4 B)
[FPGA3] RX #67      data=0x01000004 (len=4 B)
[FPGA3] RX #67      data=0x01000005 (len=4 B)
[FPGA3] RX #67      data=0x01000006 (len=4 B)
[FPGA3] RX #67      data=0x01000007 (len=4 B)
[FPGA3] RX #67      data=0x04000000 (len=4 B)
[FPGA3] RX #67      data=0x04000001 (len=4 B)
[FPGA3] RX #67      data=0x04000002 (len=4 B)
[FPGA3] RX #67      data=0x04000003 (len=4 B)
[FPGA3] RX #67      data=0x04000004 (len=4 B)
[FPGA3] TX #67.0  data=0x03000000
[FPGA3] TX #67.1  data=0x03000001
[FPGA3] TX #67.2  data=0x03000002
[FPGA3] TX #67.3  data=0x03000003
[FPGA3] RX #67      data=0x04000005 (len=4 B)
[FPGA3] TX #67.4  data=0x03000004
[FPGA3] RX #67      data=0x04000006 (len=4 B)
[FPGA3] TX #67.5  data=0x03000005
[FPGA3] RX #67      data=0x04000007 (len=4 B)
[FPGA3] TX #67.6  data=0x03000006
[FPGA3] RX #67      data=0x02000006 (len=4 B)
[FPGA3] TX #67.7  data=0x03000007
[FPGA3] RX #68      data=0x02000007 (len=4 B)
[FPGA3] RX #68      data=0x02000000 (len=4 B)
[FPGA3] RX #68      data=0x02000001 (len=4 B)
[FPGA3] RX #68      data=0x02000002 (len=4 B)
[FPGA3] RX #68      data=0x02000003 (len=4 B)
[FPGA3] RX #68      data=0x02000004 (len=4 B)
[FPGA3] RX #68      data=0x02000005 (len=4 B)
[FPGA3] RX #68      data=0x02000006 (len=4 B)
[FPGA3] RX #68      data=0x02000007 (len=4 B)
[FPGA3] RX #68      data=0x01000000 (len=4 B)
[FPGA3] RX #68      data=0x01000001 (len=4 B)
[FPGA3] RX #68      data=0x01000002 (len=4 B)
